Id,PetalLengthCm,PetalWidthCm,Species
1,1.4,0.2,Iris-setosa
2,1.4,0.2,Iris-setosa
3,1.3,0.2,Iris-setosa
4,1.5,0.2,Iris-setosa
5,1.4,0.2,Iris-setosa
6,1.7,0.4,Iris-setosa
7,1.4,0.3,Iris-setosa
8,1.5,0.2,Iris-setosa
9,1.4,0.2,Iris-setosa
10,1.5,0.1,Iris-setosa
11,1.5,0.2,Iris-setosa
12,1.6,0.2,Iris-setosa
13,1.4,0.1,Iris-setosa
14,1.1,0.1,Iris-setosa
15,1.2,0.2,Iris-setosa
16,1.5,0.4,Iris-setosa
17,1.3,0.4,Iris-setosa
18,1.4,0.3,Iris-setosa
19,1.7,0.3,Iris-setosa
20,1.5,0.3,Iris-setosa
21,1.7,0.2,Iris-setosa
22,1.5,0.4,Iris-setosa
23,1,0.2,Iris-setosa
24,1.7,0.5,Iris-setosa
25,1.9,0.2,Iris-setosa
26,1.6,0.2,Iris-setosa
27,1.6,0.4,Iris-setosa
28,4.7,1.4,Iris-versicolor
29,4.5,1.5,Iris-versicolor
30,4.9,1.5,Iris-versicolor
31,4,1.3,Iris-versicolor
32,4.6,1.5,Iris-versicolor
33,4.5,1.3,Iris-versicolor
34,4.7,1.6,Iris-versicolor
35,3.3,1,Iris-versicolor
36,4.6,1.3,Iris-versicolor
37,3.9,1.4,Iris-versicolor
38,3.5,1,Iris-versicolor
39,4.2,1.5,Iris-versicolor
40,4,1,Iris-versicolor
41,4.7,1.4,Iris-versicolor
42,3.6,1.3,Iris-versicolor
43,4.4,1.4,Iris-versicolor
44,4.5,1.5,Iris-versicolor
45,4.1,1,Iris-versicolor
46,4.5,1.5,Iris-versicolor
47,3.9,1.1,Iris-versicolor
48,4.8,1.8,Iris-versicolor
49,4,1.3,Iris-versicolor
50,4.9,1.5,Iris-versicolor
51,4.7,1.2,Iris-versicolor
52,4.3,1.3,Iris-versicolor
53,4.4,1.4,Iris-versicolor
54,4.8,1.4,Iris-versicolor
55,6,2.5,Iris-virginica
56,5.1,1.9,Iris-virginica
57,5.9,2.1,Iris-virginica
58,5.6,1.8,Iris-virginica
59,5.8,2.2,Iris-virginica
60,6.6,2.1,Iris-virginica
61,4.5,1.7,Iris-virginica
62,6.3,1.8,Iris-virginica
63,5.8,1.8,Iris-virginica
64,6.1,2.5,Iris-virginica
65,5.1,2,Iris-virginica
66,5.3,1.9,Iris-virginica
67,5.5,2.1,Iris-virginica
68,5,2,Iris-virginica
69,5.1,2.4,Iris-virginica
70,5.3,2.3,Iris-virginica
71,5.5,1.8,Iris-virginica
72,6.7,2.2,Iris-virginica
73,6.9,2.3,Iris-virginica
74,5,1.5,Iris-virginica
75,5.7,2.3,Iris-virginica
76,4.9,2,Iris-virginica
77,6.7,2,Iris-virginica
78,4.9,1.8,Iris-virginica
79,5.7,2.1,Iris-virginica
80,6,1.8,Iris-virginica
